Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2024-01-11,4780.240234375,4798.5,4739.580078125,4792.1298828125,3759890000
2024-01-12,4783.830078125,4802.39990234375,4768.97998046875,4791.18017578125,3486340000
2024-01-16,4765.97998046875,4782.33984375,4747.1201171875,4772.35009765625,4260550000
2024-01-17,4739.2099609375,4744.22998046875,4714.81982421875,4739.1298828125,3928600000
2024-01-18,4780.93994140625,4785.7900390625,4740.56982421875,4760.10009765625,4019000000
2024-01-19,4839.81005859375,4842.06982421875,4785.8701171875,4796.27978515625,4287200000
2024-01-22,4850.43017578125,4868.41015625,4844.0498046875,4853.419921875,4297610000
2024-01-23,4864.60009765625,4866.47998046875,4844.3701171875,4856.7998046875,3912800000
2024-01-24,4868.5498046875,4903.68017578125,4865.93994140625,4888.56005859375,4330030000
2024-01-25,4894.16015625,4898.14990234375,4869.33984375,4886.66015625,4020430000
2024-01-26,4890.97021484375,4906.68994140625,4881.47021484375,4888.91015625,3353400000
2024-01-29,4927.93017578125,4929.31005859375,4887.39990234375,4892.9501953125,3525160000
2024-01-30,4924.97021484375,4931.08984375,4916.27001953125,4925.89013671875,3836130000
2024-01-31,4845.64990234375,4906.75,4845.14990234375,4899.18994140625,4696120000
2024-02-01,4906.18994140625,4906.97021484375,4853.52001953125,4861.10986328125,4386090000
2024-02-02,4958.60986328125,4975.2900390625,4907.990234375,4916.06005859375,3974350000
2024-02-05,4942.81005859375,4957.18994140625,4918.08984375,4957.18994140625,4023640000
2024-02-06,4954.22998046875,4957.77001953125,4934.8798828125,4950.16015625,4440880000
2024-02-07,4995.06005859375,4999.89013671875,4969.0498046875,4973.0498046875,4895590000
2024-02-08,4997.91015625,5000.39990234375,4987.08984375,4995.16015625,4341860000
2024-02-09,5026.60986328125,5030.06005859375,5000.33984375,5004.169921875,3912990000
2024-02-12,5021.83984375,5048.39013671875,5016.830078125,5026.830078125,3805740000
2024-02-13,4953.169921875,4971.2998046875,4920.31005859375,4967.93994140625,4302190000
2024-02-14,5000.6201171875,5002.52001953125,4956.4501953125,4976.43994140625,3845600000
2024-02-15,5029.72998046875,5032.72021484375,4999.43994140625,5003.14013671875,4137970000
2024-02-16,5005.56982421875,5038.7001953125,4999.52001953125,5031.1298828125,3833270000
2024-02-20,4975.509765625,4993.7099609375,4955.02001953125,4989.31982421875,4034880000
2024-02-21,4981.7998046875,4983.2099609375,4946.0,4963.02978515625,3788390000
2024-02-22,5087.02978515625,5094.39013671875,5038.830078125,5038.830078125,4051710000
2024-02-23,5088.7998046875,5111.06005859375,5081.4599609375,5100.919921875,3672790000
2024-02-26,5069.52978515625,5097.66015625,5068.91015625,5093.0,3683930000
2024-02-27,5078.18017578125,5080.68994140625,5057.2900390625,5074.60009765625,3925950000
